id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,dataset
b5209b654e4f93d9,"Hey Fucko 

Hello. I saw your humorous additions to the Parrot article, if you feel the need to contribute anything else of a similar caliber I will be forced to journey to your place of residence, whereupon I will rape the ever loving shit out of your loose, dirty, nigger asshole. Okay?

130.218.80.4",1,0,1,0,1,1,train
24f57714e8ce1fd1,"""

Pronunciation of Tylium
I think it should be noted that it is pronounced """"Tie-lium"""" in the original seriesand """"Till lee um"""" in the most recent, of which is has the prominence. http://en.battlestarwiki.org/wiki/Tylium   -Ottoo""",0,0,0,0,0,0,train
4018f8996068cb8f,You will not do what again ? Can you also tell us what your former account was ? -  (Talk),0,0,0,0,0,0,train
2bb71373d7aca692,Answer: This page is not released in polish. Try to remake to polish. Remember about translations (tables→tabelki),0,0,0,0,0,0,train
d8a64df4f787e25c,"""similar statement was made about methane. I revised using """"widely considered"""" and """"purported"""" to be consistent with the idea of making the statements less absolute. I recognize weasel wording dilemmas, but seriously, this accurately portrays the qualitative information without misleading.  
Not necessary. The """"debate"""" over global warming is long over. The """"debate"""" was a farce created by the people who wanted to pretend that it didn't exist. There is no reason to cater to them. It's an insult to honesty and good science.  

If we're talking about this part:
It is the largest single source of fuel for the generation of electricity world-wide, as well as one of the largest sources of carbon dioxide emissions, which is considered the primary cause of global warming. Coal is extracted from the ground by coal mining, either underground mining or open pit mining (surface mining).
Then I don't see a problem with the global warming statement (except """"is considered"""" isn't specific), but saying it is """"one of the largest sources"""" is a weasel approach and sounds uninformed.  I will try to improve. - (talk • contribs) 

Amount of coal remaining
""""At the current global total energy consumption of 15 terawatt,[30] there is enough coal to provide the entire planet with all of its energy for 57 years.""""  This sentence is not supported, and ignores the growth in coal consumption trends, and is therefore unencyclopedic. Please support it per WP:RS or it will be removed shortly.   
Actually the only reason it is there is because someone else had the questionable statement that coal could provide the entire planet with all of its energy for 600 years, which was based on the typographical error that has been fixed. Feel free to remove. The source was simple arithmetic of the numbers given.  

support for 57 years:  Goodell, Jeff.  Big Coal. Houghtom Mifflin Co. Boston, 2006  —The preceding unsigned comment was added by 207.195.244.104  21:07, August 21, 2007 (UTC) 
Page number?  

""""by country"""" articles
Are the any articles that break up coal power by country like we have for renewables and nuclear? - (talk • contribs) 

 largest source of carbon dioxide 

since when was this true. Oil and it's bi-products exceed by far any other source of energy when it comes to CO2 emmisions. Someone needs to change that statement.  —Preceding unsigned comment added by 99.234.149.235   
The article does not say anywhere that coal is the largest source, it says it is one of the largest sources. Coal and oil are so close to each other that it is not easy to definitively say that either is the largest. Coal is also increasing much faster than oil, which is likely to be declining soon, if it hasn't already begun to decline.  

 Question about units 
The article sometimes measures coal consumption in tonnes (metric tons, one tonne = 1000 kg) and sometimes in tons, which could be either the short ton (2000 lb) or the long ton (2200 lb).  (See the section, """"Coal as Fuel"""".)   Is this change intentional or simply a typo?

 

 Chemical Formula 

Should we add a chemical formula on the page? I couldn't find one. I'm not quite sure of what it is, but I know it has Hydrogen and Carbon in it for sure. §  § 

 Reversal Trends in the United States 

Would be a good subsection, as coal plants have been rejected in Kansas and (I think) Washingto",0,0,0,0,0,0,train
09e42c1742c9a50c,"but ew 

He was a fαg which is against nature and is the most disgusting thing. Youre not a woman are you? Sexism is wrong. Being wrong is for women.",1,0,1,0,0,1,train
0f700cbb8be86a7f,"Eleemosynary, you're clearly a biased editor.  Let's face it, you lost and hopefully you'll be exiled from editing the article.",0,0,0,0,0,0,train
66e29ab5be989115,"The Cut-Away Diagram is Shit 

I hold two bachelors, a masters, and a doctorate. I like to consider myself reasonably intelligent. I cannot figure out where the water flows in or out of the diagram and find it stupendously idiotic. Perhaps we can find one that isn't so shit? 211.30.150.155",1,0,1,0,0,0,train
3c243ac173057299,". I ONLY POSTED FACTS I NEVER WROTE HE IS THE WORST PLAYER ETC. I POSTED FACTS EXPLAIN HOW THAT IS BIAS. DAMN I'M SICK OF THESE COMPLAINTS AND DELETION OF MY POSTS. I NEVER DELETED ANY KOBE RAPE CRAP. DID YOU SEE ME DELETE THAT?? I MIGHT HAVE ADDED, THOUGH HE WAS NOT FOUND GUILTY BUT I NEVER DELETED THAT STUFF AND IF I DID I DIDN'T DO IT OVER AND OVER AGAIN. NOW PEOPLE DELETE SOME STUFF OFF MVP CANDIDACY FOR HIM OVER AND OVER AGAIN. DAMN YOU GUYS ARE HORRIBLE AND SO ARE SOME OF THE ADMINS ON THIS SITE BECAUSE THEY JUST SINGLE OUT SOME PEOPLE FOR NO REASON",1,0,0,0,0,0,train
e0fead60e4924d59,If it matters that much change the damn spelling.,1,0,1,0,0,0,train
a1701bd22e58a5d5,"Dont bother
Sending any messages here since I have access to any IP and I will not read any more crap from criminals like you who do not know basics and can not agree on simple things, in the beginning you said you can live with February, then you change it, then I agreed and never posted anything else.",1,0,0,0,0,0,train
c6e6558858c00837,"""
 Oh, since you probably want """"proof"""":    (contribs) """,0,0,0,0,0,0,train
cba09b5c1ffb3960,Isn't French Wikipedia part of WMF?'''''''''' (talk|Contributions),0,0,0,0,0,0,train
365eebe689310263,de Brolglie's double solution theory there is the physical wave which the particle occupies a very small region of and there is the wave function which is purely statistical. In,0,0,0,0,0,0,train
a988301e67074e4b,"""

 """"Those giant lists"""" 

Why do you even care!? What inspires you to check something you're not a fan of. Do you have more interesting articles you can be dedicated too, instead of stuff crap up for other people. Do you?  """,1,0,0,0,0,0,train
e80e75059aa8cb50,"Too many international statements 

Agreed that the Mumbai blasts were a major world event, but I don't think there is any need to cite the reactions from so many countries. Four-five statements from the most important countries will do. I am planning to delete unnecessary statements tomorrow.",0,0,0,0,0,0,train
fa9f80c52be2baf4,"""
Mkay. Back to my original comment: """"... tagging a page as A1 within two minutes of creation is way too fast. See WP:CSD#A1.""""   """,0,0,0,0,0,0,train
3bcc39350b3ef746,"Shut up you fucking loser.  Get a life you fat fuck.  

````",1,1,1,0,1,0,train
4aa631bfa49c38d5,"My response to the request for comments is:
1. The article should state what Robert Latimer said he believed – I think it would be best to actually quote him so that there can be no question about accuracy of the wording of what he says he believed. I think the article should refer to what he has said (the CBC story has lots of his comments in this regard) and not to what he believed (because no-one can know this). 
2. On the second point, I agree that it is most accurate to state that Latimer and his supporters consider his actions to be a mercy killing.",0,0,0,0,0,0,train
a39216a628bde2ef,"""

  Venue suggestion needed for a meet-up in Yuen Long


Dear:  ： 

In the past meet-ups, we always had our meeting in the centre of Kowloon, either Kowloon Tong or Mong Kok. However, apart from these places, I am sure that alternative venues in other region would be suitable.

This is the time for your suggestion! According to some discussion on Chinese Wikipedia, from August of 2007, the Hong Kong Wikimedians’ meet-up would be held in all districts of Hong Kong in a circulation basis.

Here is the tentative information of the first meet-up：
 Date：11, August, 2007 (Saturday) 
 Time：After 5:00pm
 Proposed region：Yuen Long

The community would request for ideas of where we should hold the meet-up , in order to have a better decision. If you have any good ideas, don’t hesitate to give your opinions, million thanks!

Regards,
Hong Kong Wikimedian
""",0,0,0,0,0,0,train
8b92c70af02a03cb,"Thats my name
You have blocked me but Kshitij is a Indian name. How can i change my name?? (  )",0,0,0,0,0,0,train
ae2a0295099a6750,unblock|This ip is no longer an open proxy.  Please check it to make sure}},0,0,0,0,0,0,train
5a59a2ee04ec5f9b,"How so, would you care to atleast give a concise justification of your statement or is it just an empty assertion coming from a pseudo-intellect?",1,0,0,0,0,0,train
961f8058a2d80123,Two words. Reliable sources. My reliable sources say that you are a vandal. Ergo you are.,0,0,0,0,1,0,train
596fbf44d4bdbf4b,"Did you know that Christopher Columbus was born on November 31, 2003. He likes to smell and eat poop. The Spanish people taught him how to poop out mini vans",0,0,0,0,0,0,train
810390b1f6b22dd6,"Alas, for those who have a degree in CpE, we by default consider ourselves very different than CS or EE because many still do not know we exist.  If you look at most engineering categories you will see CS and EE listed and CE not listed in many cases because many still do not recognize or realize what a CpE does that is different than CS or EE. Cmp is more specialized in areas of mainly digital systems hardware and software whilst EE is more in to. . . everything electrical (from the atomic level to power grids). Think of a discipline who straddles the fence between the fields of EE and CS (then slips off both ;-)). That's where CpE would unfortunately  land. We need our own article to explain the difference.",0,0,0,0,0,0,train
29158b1935c1fda6,"It doesn't make sense to have quotes from Iraqi scientists describing it as a nuclear weapons program, yet simultaneously say that the reactor could not be used for nuclear weapons.  These are contradictory.  I don't really know enough to know how to reconcile them, but they obviously have to be reconciled somehow.

I don't think your suggested addition works, because it doesn't address the issue of the scientists.",0,0,0,0,0,0,train
b0be77568e839d36,"Read the facts, and check the racist User:Jpgordon's behaviour, do not just agree with somenone who is/claims to be an administrator because you are one. Very simple indeed, but does require maturity, not shown here by either User:Kuru or User:Acroterion, who chose to condone and collude with racism of User:Jpgordon.

Ah well.... getting tiresome and disgusting, all this business. Will have to change IP. 59.41.252.228  }}",0,0,0,0,0,0,train
cf7afd310655e4e5,"I have made the first two changes that you mantioned. I can make the final change if you detail how you would like it formatted, I am not sure how to write it or where to put it from your request.",0,0,0,0,0,0,train
16a488f2432a205f,"""

 I Don't Know Where To Put Her... 

Hey all

I was rewatching Heroes Season one and in the episode """"Seven Minutes to Midnight"""" while Mohinder is in India, Mira Shenoy mentions she has a new job for THE Company as a scientist of some sort.  I would put her in but I don't know where.   """,0,0,0,0,0,0,train
757dbeb8d10bf15e,"Well, I suggest you spend 30 seconds and using Google. Just because a one source says something we don't throw commonsense out the window.",0,0,0,0,0,0,train
b868836a0bcfa86f,"re:Jimmy 

I responded in the appropriate talk page, please dont take it personally, we are just usernames.",0,0,0,0,0,0,train
f1ce80eebf786733,"""

 ATP Challenger Tour Template 
Hey! Thanks so much for adding in the other countries for the other continents on the template I made, !! D It took me almost all day, about 13 hours, to get that template up and adding the code on all of those pages. Thanks again for fixing it up a bit! D  talk """,0,0,0,0,0,0,train
c2bad40f4caa9776,There has been.  You should go listen to 1992 Classic Trance track Loops of Infinity by Cosmic Baby.  It was 160 BPM.  Even so a genre isn't determined by speed.,0,0,0,0,0,0,train
420bb8277e9e017e,(there have been books by those name but they have articles at Peter Parker: Spider-Man and Superman (comic book)),0,0,0,0,0,0,train
e8d66a843390f637,- Do it and I will cut you,1,0,0,1,0,0,train
